time,coord_x,coord_y
20.39742,0.600934,0.723535
20.41111,0.600293,0.722931
20.42514,0.599642,0.722374
20.43896,0.599006,0.721878
20.45291,0.598345,0.721394
20.46692,0.597609,0.720805
20.48072,0.596808,0.720072
20.49489,0.595865,0.719116
20.50864,0.594871,0.718061
20.52246,0.593806,0.716967
20.53666,0.592697,0.715838
20.55037,0.59157,0.714697
20.56439,0.590367,0.713404
20.57817,0.589088,0.711908
20.59225,0.587731,0.71021
20.60604,0.58645,0.708603
20.62,0.585183,0.707049
20.63399,0.583952,0.705582
20.64784,0.582622,0.704002
20.66178,0.581117,0.702144
20.67571,0.579336,0.699876
20.68965,0.577274,0.697313
20.7037,0.57499,0.694752
20.71741,0.572603,0.69234
20.73148,0.569895,0.689817
20.74546,0.566825,0.687002
20.75924,0.563268,0.683703
20.77322,0.559181,0.679789
20.78714,0.55474,0.675593
20.8011,0.549902,0.671303
20.81489,0.545029,0.667152
20.82889,0.54,0.662936
20.84297,0.535135,0.658676
20.85678,0.530583,0.65449
20.87073,0.526195,0.650114
20.88444,0.521963,0.645709
20.89853,0.5178,0.641173
20.91232,0.513893,0.636746
20.92624,0.510313,0.632451
20.94029,0.507046,0.628459
20.95423,0.504026,0.62489
20.968,0.501163,0.621807
20.98209,0.498283,0.619088
20.99591,0.49566,0.616774
21.00986,0.49316,0.614775
21.02388,0.490651,0.613105
21.03764,0.487871,0.611739
21.05154,0.484943,0.610721
21.06545,0.482156,0.610027
21.07945,0.479532,0.609551
21.09334,0.477177,0.60922
21.10741,0.475014,0.608944
21.12113,0.472965,0.608673
21.13502,0.470875,0.608356
21.14907,0.468782,0.6081
21.16307,0.466824,0.608045
21.17693,0.465,0.608245
21.19081,0.463249,0.608689
21.20483,0.461485,0.609278
21.21868,0.45966,0.610046
21.23263,0.457605,0.611214
21.24653,0.455144,0.61306
21.26058,0.452378,0.615611
21.27426,0.44953,0.618642
21.28826,0.446362,0.622533
21.30217,0.442778,0.627588
21.3161,0.438691,0.63419
21.33011,0.434213,0.6424
21.34398,0.42972,0.651428
21.35784,0.42536,0.660468
21.37195,0.421075,0.669117
21.38577,0.417055,0.676771
21.39966,0.413008,0.683735
21.41352,0.409174,0.689746
21.4276,0.405306,0.695005
21.4414,0.401624,0.699569
21.4553,0.397935,0.703657
21.46948,0.394041,0.707377
